"","scaffold","ref_start","ref_end","LG","LG_position_start","LG_position_end","locus","samp_sizetot","SynSitestot","Dxy_Ks_NMX","scaffold.1","scaffold_num","pct_identical","length","n_mismatch","n_gaps","q_start","q_end","ref_start.1","ref_end.1","evalue","bitscore"
"658",7594,838928,838769,"L.10",115431055,115431214,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,100,160,0,0,2346,2505,838928,838769,0.0000000000000000000000000000000000000000000000000000000000000000000000000000653,296
"660",7594,839362,839280,"L.10",115430621,115430703,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,100,83,0,0,2526,2608,839362,839280,0.000000000000000000000000000000000416,154
"661",7594,839521,839479,"L.10",115430462,115430504,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,100,43,0,0,2688,2730,839521,839479,0.00000000000716,80.5
"662",7594,839582,839525,"L.10",115430401,115430458,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,100,58,0,0,2732,2789,839582,839525,0.0000000000000000000328,108
"665",7594,840399,840253,"L.10",115429584,115429730,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,100,147,0,0,2989,3135,840399,840253,0.0000000000000000000000000000000000000000000000000000000000000000000011,272
"668",7594,841336,841286,"L.10",115428647,115428697,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,100,51,0,0,3333,3383,841336,841286,0.000000000000000256,95.3
"670",7594,841837,841773,"L.10",115428146,115428210,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,100,65,0,0,3835,3899,841837,841773,0.00000000000000000000000422,121
"672",7594,843070,842990,"L.10",115426913,115426993,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,100,81,0,0,3657,3737,843070,842990,0.00000000000000000000000000000000538,150
"674",7594,843232,843158,"L.10",115426751,115426825,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,100,75,0,0,4014,4088,843232,843158,0.0000000000000000000000000000116,139
"675",7594,843482,843445,"L.10",115426501,115426538,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,100,38,0,0,3981,4018,843482,843445,0.00000000431,71.3
"676",7594,843559,843487,"L.10",115426424,115426496,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,100,73,0,0,4435,4507,843559,843487,0.000000000000000000000000000151,135
"678",7594,844064,843945,"L.10",115425919,115426038,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,100,120,0,0,4121,4240,844064,843945,0.00000000000000000000000000000000000000000000000000000112,222
"680",7594,844666,844604,"L.10",115425317,115425379,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,100,63,0,0,4684,4746,844666,844604,0.0000000000000000000000545,117
"681",7594,844990,844883,"L.10",115424993,115425100,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,99.074,108,1,0,4578,4685,844990,844883,0.000000000000000000000000000000000000000000000245,195
"684",7594,845424,845307,"L.10",115424559,115424676,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,99.16,119,0,1,5264,5382,845424,845307,0.000000000000000000000000000000000000000000000000000676,213
"685",7594,845769,845927,"L.10",115424214,115424056,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,100,159,0,0,156,314,845769,845927,0.000000000000000000000000000000000000000000000000000000000000000000000000000235,294
"686",7594,845924,845769,"L.10",115424059,115424214,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,100,156,0,0,5114,5269,845924,845769,0.0000000000000000000000000000000000000000000000000000000000000000000000000109,289
"688",7594,846473,846252,"L.10",115423510,115423731,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,99.103,223,0,2,4893,5114,846473,846252,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000484,399
"689",7594,846624,846742,"L.10",115423359,115423241,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,99.16,119,0,1,525,642,846624,846742,0.000000000000000000000000000000000000000000000000000676,213
"696",7594,848050,847903,"L.10",115421933,115422080,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,99.329,149,0,1,5901,6049,848050,847903,0.0000000000000000000000000000000000000000000000000000000000000000000142,268
"699",7594,849382,849483,"L.10",115420601,115420500,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,100,102,0,0,1044,1145,849382,849483,0.0000000000000000000000000000000000000000000114,189
"700",7594,849483,849382,"L.10",115420500,115420601,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,99.02,102,1,0,5711,5812,849483,849382,0.00000000000000000000000000000000000000000053,183
"701",7594,849785,849857,"L.10",115420198,115420126,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,100,73,0,0,1143,1215,849785,849857,0.000000000000000000000000000151,135
"702",7594,849857,849785,"L.10",115420126,115420198,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,100,73,0,0,5641,5713,849857,849785,0.000000000000000000000000000151,135
"703",7594,850005,850105,"L.10",115419978,115419878,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,99.01,101,1,0,1212,1312,850005,850105,0.00000000000000000000000000000000000000000191,182
"705",7594,850203,850336,"L.10",115419780,115419647,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,99.259,135,0,1,1313,1447,850203,850336,0.000000000000000000000000000000000000000000000000000000000000862,243
"706",7594,850301,850203,"L.10",115419682,115419780,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,100,99,0,0,5445,5543,850301,850203,0.00000000000000000000000000000000000000000053,183
"707",7594,850336,850306,"L.10",115419647,115419677,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,100,31,0,0,6193,6223,850336,850306,0.0000335,58.4
"708",7594,850404,850848,"L.10",115419579,115419135,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,99.105,447,1,3,1445,1890,850404,850848,0,800
"709",7594,850488,850404,"L.10",115419495,115419579,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,100,85,0,0,6111,6195,850488,850404,0.0000000000000000000000000000000000321,158
"710",7594,850721,850492,"L.10",115419262,115419491,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,99.567,231,0,1,6225,6455,850721,850492,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000371,420
"720",7594,861730,861888,"L.10",115408253,115408095,248,4,939.1666667,0,"ScnbKXS_7594;HRSCAF=8876",7594,99.375,160,0,1,2346,2505,861730,861888,0.0000000000000000000000000000000000000000000000000000000000000000000000000109,289
"724",10265,100712,100632,"L.10",107834291,107834371,24198,20,111.6269841,0,"ScnbKXS_10265;HRSCAF=11957",10265,100,81,0,0,129,209,100712,100632,0.000000000000000000000000000000000701,150
"726",10265,101089,101048,"L.10",107833914,107833955,24198,20,111.6269841,0,"ScnbKXS_10265;HRSCAF=11957",10265,100,42,0,0,1,42,101089,101048,0.00000000000335,78.7
"730",11619,6105330,6105361,"L.10",76486766,76486735,206,18,188.7105263,0,"ScnbKXS_11619;HRSCAF=13537",11619,100,32,0,0,1117,1148,6105330,6105361,0.00000221,60.2
"735",11619,25581950,25581606,"L.10",57010146,57010490,1384,14,371.0222222,0,"ScnbKXS_11619;HRSCAF=13537",11619,99.422,346,1,1,3494,3839,25581950,25581606,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,627
"736",11619,25582045,25581951,"L.10",57010051,57010145,1384,14,371.0222222,0,"ScnbKXS_11619;HRSCAF=13537",11619,100,95,0,0,2871,2965,25582045,25581951,0.0000000000000000000000000000000000000000446,176
"737",11619,25582244,25582142,"L.10",57009852,57009954,1384,14,371.0222222,0,"ScnbKXS_11619;HRSCAF=13537",11619,100,103,0,0,2771,2873,25582244,25582142,0.00000000000000000000000000000000000000000000159,191
"738",11619,25582476,25582346,"L.10",57009620,57009750,1384,14,371.0222222,0,"ScnbKXS_11619;HRSCAF=13537",11619,100,131,0,0,2637,2767,25582476,25582346,0.000000000000000000000000000000000000000000000000000000000000434,243
"739",11619,25582659,25582555,"L.10",57009437,57009541,1384,14,371.0222222,0,"ScnbKXS_11619;HRSCAF=13537",11619,100,105,0,0,2535,2639,25582659,25582555,0.000000000000000000000000000000000000000000000123,195
"740",11619,25582929,25582770,"L.10",57009167,57009326,1384,14,371.0222222,0,"ScnbKXS_11619;HRSCAF=13537",11619,100,160,0,0,2378,2537,25582929,25582770,0.0000000000000000000000000000000000000000000000000000000000000000000000000000328,296
"741",11619,25583208,25583028,"L.10",57008888,57009068,1384,14,371.0222222,0,"ScnbKXS_11619;HRSCAF=13537",11619,100,181,0,0,2201,2381,25583208,25583028,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000696,335
"742",11619,25583415,25583443,"L.10",57008681,57008653,1384,14,371.0222222,0,"ScnbKXS_11619;HRSCAF=13537",11619,100,29,0,0,96,124,25583415,25583443,0.000218,54.7
"743",11619,25583443,25583298,"L.10",57008653,57008798,1384,14,371.0222222,0,"ScnbKXS_11619;HRSCAF=13537",11619,99.315,146,1,0,2058,2203,25583443,25583298,0.0000000000000000000000000000000000000000000000000000000000000000000926,265
"744",11619,25583672,25584018,"L.10",57008424,57008078,1384,14,371.0222222,0,"ScnbKXS_11619;HRSCAF=13537",11619,99.425,348,1,1,123,470,25583672,25584018,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000793,630
"745",11619,25583973,25584014,"L.10",57008123,57008082,1384,14,371.0222222,0,"ScnbKXS_11619;HRSCAF=13537",11619,100,42,0,0,1,42,25583973,25584014,0.000000000013,78.7
"746",11619,25584018,25583672,"L.10",57008078,57008424,1384,14,371.0222222,0,"ScnbKXS_11619;HRSCAF=13537",11619,99.425,348,1,1,1712,2059,25584018,25583672,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000793,630
"749",11619,25584562,25584343,"L.10",57007534,57007753,1384,14,371.0222222,0,"ScnbKXS_11619;HRSCAF=13537",11619,99.095,221,0,2,1499,1718,25584562,25584343,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000315,396
"750",11619,25584742,25584566,"L.10",57007354,57007530,1384,14,371.0222222,0,"ScnbKXS_11619;HRSCAF=13537",11619,99.435,177,0,1,2964,3139,25584742,25584566,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000195,320
"751",11619,25584883,25584743,"L.10",57007213,57007353,1384,14,371.0222222,0,"ScnbKXS_11619;HRSCAF=13537",11619,100,141,0,0,3140,3280,25584883,25584743,0.0000000000000000000000000000000000000000000000000000000000000000012,261
"752",11619,25585098,25584886,"L.10",57006998,57007210,1384,14,371.0222222,0,"ScnbKXS_11619;HRSCAF=13537",11619,99.533,214,0,1,3281,3494,25585098,25584886,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000527,388
"756",15686,37587,37446,"L.10",102017311,102017452,5422,8,134.037037,0,"ScnbKXS_15686;HRSCAF=18324",15686,99.296,142,1,0,1519,1660,37587,37446,0.00000000000000000000000000000000000000000000000000000000000000000949,257
"757",15686,37815,37665,"L.10",102017083,102017233,5422,8,134.037037,0,"ScnbKXS_15686;HRSCAF=18324",15686,100,151,0,0,1375,1525,37815,37665,0.00000000000000000000000000000000000000000000000000000000000000000000000202,279
"758",15686,38151,37897,"L.10",102016747,102017001,5422,8,134.037037,0,"ScnbKXS_15686;HRSCAF=18324",15686,99.608,255,1,0,1123,1377,38151,37897,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000145,466
"765",15686,39455,39727,"L.10",102015443,102015171,5422,8,134.037037,0,"ScnbKXS_15686;HRSCAF=18324",15686,100,273,0,0,481,753,39455,39727,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000307,505
"770",15816,1172989,1170095,"L.10",116738445,116741339,434,12,83.46153846,0,"ScnbKXS_15816;HRSCAF=18574",15816,99.344,2895,17,2,1,2893,1172989,1170095,0,5240
"771",16135,13518,13240,"L.10",118051125,118051403,9747,22,86.5,0,"ScnbKXS_16135;HRSCAF=19280",16135,100,279,0,0,1264,1542,13518,13240,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000092,516
"772",16135,13983,13773,"L.10",118050660,118050870,9747,22,86.5,0,"ScnbKXS_16135;HRSCAF=19280",16135,99.528,212,0,1,1057,1268,13983,13773,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000271,385
"773",16135,14184,14078,"L.10",118050459,118050565,9747,22,86.5,0,"ScnbKXS_16135;HRSCAF=19280",16135,100,107,0,0,953,1059,14184,14078,0.00000000000000000000000000000000000000000000000378,198
"774",16135,14688,14357,"L.10",118049955,118050286,9747,22,86.5,0,"ScnbKXS_16135;HRSCAF=19280",16135,99.096,332,3,0,623,954,14688,14357,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000319,597
"776",16135,16264,16169,"L.10",118048379,118048474,9747,22,86.5,0,"ScnbKXS_16135;HRSCAF=19280",16135,100,96,0,0,433,528,16264,16169,0.00000000000000000000000000000000000000000493,178
"777",16135,16518,16416,"L.10",118048125,118048227,9747,22,86.5,0,"ScnbKXS_16135;HRSCAF=19280",16135,99.029,103,1,0,333,435,16518,16416,0.0000000000000000000000000000000000000000000295,185
"778",16135,16933,16723,"L.10",118047710,118047920,9747,22,86.5,0,"ScnbKXS_16135;HRSCAF=19280",16135,100,211,0,0,124,334,16933,16723,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000582,390
"779",16135,18345,18299,"L.10",118046298,118046344,9747,22,86.5,0,"ScnbKXS_16135;HRSCAF=19280",16135,100,47,0,0,80,126,18345,18299,0.00000000000000855,87.9
"780",16135,49386,48627,"L.10",118015257,118016016,4040,14,85.33333333,0,"ScnbKXS_16135;HRSCAF=19280",16135,99.606,761,2,1,1405,2165,49386,48627,0,1387
"781",16135,49982,49467,"L.10",118014661,118015176,4040,14,85.33333333,0,"ScnbKXS_16135;HRSCAF=19280",16135,99.419,516,3,0,893,1408,49982,49467,0,937
"782",16135,52609,52648,"L.10",118012034,118011995,4040,14,85.33333333,0,"ScnbKXS_16135;HRSCAF=19280",16135,100,40,0,0,1,40,52609,52648,0.0000000000939,75
"785",16135,68350,68312,"L.10",117996293,117996331,4040,14,85.33333333,0,"ScnbKXS_16135;HRSCAF=19280",16135,100,39,0,0,1,39,68350,68312,0.000000000338,73.1
"787",16135,71195,71953,"L.10",117993448,117992690,4040,14,85.33333333,0,"ScnbKXS_16135;HRSCAF=19280",16135,99.474,761,2,2,1405,2165,71195,71953,0,1382
"788",16135,91707,91832,"L.10",117972936,117972811,9747,22,86.5,0,"ScnbKXS_16135;HRSCAF=19280",16135,99.206,126,1,0,1,126,91707,91832,0.00000000000000000000000000000000000000000000000000000000483,228
"789",16135,93896,94107,"L.10",117970747,117970536,9747,22,86.5,0,"ScnbKXS_16135;HRSCAF=19280",16135,99.528,212,0,1,124,334,93896,94107,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000271,385
"790",16135,94317,94420,"L.10",117970326,117970223,9747,22,86.5,0,"ScnbKXS_16135;HRSCAF=19280",16135,99.038,104,0,1,333,435,94317,94420,0.0000000000000000000000000000000000000000000295,185
"791",16135,94572,94667,"L.10",117970071,117969976,9747,22,86.5,0,"ScnbKXS_16135;HRSCAF=19280",16135,100,96,0,0,433,528,94572,94667,0.00000000000000000000000000000000000000000493,178
"797",16154,104246,105818,"L.10",118092046,118090474,1712,2,52,0,"ScnbKXS_16154;HRSCAF=19328",16154,99.746,1573,4,0,1,1573,104246,105818,0,2883
"798",16154,106244,104246,"L.10",118090048,118092046,1712,2,52,0,"ScnbKXS_16154;HRSCAF=19328",16154,99.65,1999,7,0,1569,3567,106244,104246,0,3653
"799",17265,451431,452102,"L.5",64314462,64313791,7062,24,247.98,0.093987089,"ScnbKXS_17265;HRSCAF=21557",17265,99.405,672,4,0,275,946,451431,452102,0,1219
"800",17265,451660,451385,"L.5",64314233,64314508,7062,24,247.98,0.093987089,"ScnbKXS_17265;HRSCAF=21557",17265,99.638,276,1,0,1,276,451660,451385,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000249,505
"801",17265,452689,453316,"L.5",64313204,64312577,7062,24,247.98,0.093987089,"ScnbKXS_17265;HRSCAF=21557",17265,99.045,628,6,0,941,1568,452689,453316,0,1127
"802",17265,453473,453801,"L.5",64312420,64312092,7062,24,247.98,0.093987089,"ScnbKXS_17265;HRSCAF=21557",17265,99.392,329,0,1,1563,1889,453473,453801,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000144,595
"803",17265,453751,453710,"L.5",64312142,64312183,7062,24,247.98,0.093987089,"ScnbKXS_17265;HRSCAF=21557",17265,100,42,0,0,1883,1924,453751,453710,0.00000000000644,78.7
"806",15769,125515,125567,"L.5",58614407,58614355,7979,24,302.0933333,0.023544534,"ScnbKXS_15769;HRSCAF=18489",15769,100,53,0,0,977,1029,125515,125567,0.00000000000000000623,99
"807",15769,125933,126035,"L.5",58613989,58613887,7979,24,302.0933333,0.023544534,"ScnbKXS_15769;HRSCAF=18489",15769,100,103,0,0,1029,1131,125933,126035,0.000000000000000000000000000000000000000000000999,191
"808",15769,126115,126225,"L.5",58613807,58613697,7979,24,302.0933333,0.023544534,"ScnbKXS_15769;HRSCAF=18489",15769,99.099,111,1,0,1130,1240,126115,126225,0.00000000000000000000000000000000000000000000000166,200
"809",15769,126305,126384,"L.5",58613617,58613538,7979,24,302.0933333,0.023544534,"ScnbKXS_15769;HRSCAF=18489",15769,100,80,0,0,1240,1319,126305,126384,0.0000000000000000000000000000000061,148
"810",15769,126550,126716,"L.5",58613372,58613206,7979,24,302.0933333,0.023544534,"ScnbKXS_15769;HRSCAF=18489",15769,100,167,0,0,1319,1485,126550,126716,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000264,309
"811",15769,126851,126987,"L.5",58613071,58612935,7979,24,302.0933333,0.023544534,"ScnbKXS_15769;HRSCAF=18489",15769,99.27,137,1,0,1485,1621,126851,126987,0.00000000000000000000000000000000000000000000000000000000000000584,248
"815",15769,147821,147419,"L.5",58592101,58592503,7979,24,302.0933333,0.023544534,"ScnbKXS_15769;HRSCAF=18489",15769,99.007,403,4,0,2014,2416,147821,147419,0,723
"816",15769,148139,147916,"L.5",58591783,58592006,7979,24,302.0933333,0.023544534,"ScnbKXS_15769;HRSCAF=18489",15769,100,224,0,0,1790,2013,148139,147916,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000544,414
"817",15769,148559,148389,"L.5",58591363,58591533,7979,24,302.0933333,0.023544534,"ScnbKXS_15769;HRSCAF=18489",15769,100,171,0,0,1621,1791,148559,148389,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000158,316
"820",15769,149318,149239,"L.5",58590604,58590683,7979,24,302.0933333,0.023544534,"ScnbKXS_15769;HRSCAF=18489",15769,100,80,0,0,1240,1319,149318,149239,0.0000000000000000000000000000000061,148
"822",15769,149689,149587,"L.5",58590233,58590335,7979,24,302.0933333,0.023544534,"ScnbKXS_15769;HRSCAF=18489",15769,100,103,0,0,1029,1131,149689,149587,0.000000000000000000000000000000000000000000000999,191
"823",15769,150094,150042,"L.5",58589828,58589880,7979,24,302.0933333,0.023544534,"ScnbKXS_15769;HRSCAF=18489",15769,100,53,0,0,977,1029,150094,150042,0.00000000000000000623,99
"824",15769,150371,150188,"L.5",58589551,58589734,7979,24,302.0933333,0.023544534,"ScnbKXS_15769;HRSCAF=18489",15769,99.457,184,0,1,794,976,150371,150188,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000157,333
"826",15769,156477,156331,"L.5",58583445,58583591,7979,24,302.0933333,0.023544534,"ScnbKXS_15769;HRSCAF=18489",15769,99.324,148,0,1,1790,1937,156477,156331,0.0000000000000000000000000000000000000000000000000000000000000000000161,267
"833",15769,158435,158383,"L.5",58581487,58581539,7979,24,302.0933333,0.023544534,"ScnbKXS_15769;HRSCAF=18489",15769,100,53,0,0,977,1029,158435,158383,0.00000000000000000623,99
"834",15769,158709,158527,"L.5",58581213,58581395,7979,24,302.0933333,0.023544534,"ScnbKXS_15769;HRSCAF=18489",15769,99.454,183,0,1,794,975,158709,158527,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000564,331
"837",17272,21312061,21312338,"L.5",103771770,103772047,1873,24,153.0133333,0,"ScnbKXS_17272;HRSCAF=21564",17272,100,278,0,0,234,511,21312061,21312338,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000478,514
"838",17272,21312469,21313745,"L.5",103772178,103773454,1873,24,153.0133333,0,"ScnbKXS_17272;HRSCAF=21564",17272,99.374,1277,8,0,507,1783,21312469,21313745,0,2314
"840",17272,21314136,21314492,"L.5",103773845,103774201,1873,24,153.0133333,0,"ScnbKXS_17272;HRSCAF=21564",17272,99.44,357,2,0,1857,2213,21314136,21314492,0,649
"848",17268,2110306,2108714,"L.8",2110306,2108714,5844,24,524.8,0.003821838,"ScnbKXS_17268;HRSCAF=21560",17268,99.247,1593,8,3,1,1589,2110306,2108714,0,2872
"850",17268,2147465,2145877,"L.8",2147465,2145877,5844,24,524.8,0.003821838,"ScnbKXS_17268;HRSCAF=21560",17268,99.121,1592,8,6,1,1589,2147465,2145877,0,2857
"855",8932,17901483,17901645,"L.8",50444274,50444436,747,6,106.2142857,0,"ScnbKXS_8932;HRSCAF=10440",8932,99.387,163,1,0,162,324,17901483,17901645,0.00000000000000000000000000000000000000000000000000000000000000000000000000000644,296
"857",8932,17903521,17903753,"L.8",50446312,50446544,747,6,106.2142857,0,"ScnbKXS_8932;HRSCAF=10440",8932,99.571,233,1,0,505,737,17903521,17903753,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000788,425
"859",8932,17903697,17903656,"L.8",50446488,50446447,747,6,106.2142857,0,"ScnbKXS_8932;HRSCAF=10440",8932,100,42,0,0,735,776,17903697,17903656,0.00000000000254,78.7
"861",8932,18021392,18021624,"L.8",50564183,50564415,747,6,106.2142857,0,"ScnbKXS_8932;HRSCAF=10440",8932,99.571,233,1,0,505,737,18021392,18021624,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000788,425
"865",498,253168,253027,NA,107576203,107576151,2759,24,84.32,0.11547146,"ScnbKXS_498;HRSCAF=590",498,100,142,0,0,914,1055,253168,253027,0.000000000000000000000000000000000000000000000000000000000000000000138,263
"866",498,253899,253169,NA,107576203,107576151,2759,24,84.32,0.11547146,"ScnbKXS_498;HRSCAF=590",498,99.453,731,4,0,6,736,253899,253169,0,1328
"871",498,266446,266997,NA,107576203,107576151,2759,24,84.32,0.11547146,"ScnbKXS_498;HRSCAF=590",498,99.458,554,1,2,1053,1606,266446,266997,0,1005
"878",15948,236107,235980,NA,102119292,102119326,4117,24,120.9533333,0.109670167,"ScnbKXS_15948;HRSCAF=18860",15948,100,128,0,0,1541,1668,236107,235980,0.0000000000000000000000000000000000000000000000000000000000122,237
"879",16884,200823,200989,NA,102469042,102469007,4410,22,62.57246377,0.102724391,"ScnbKXS_16884;HRSCAF=20830",16884,99.401,167,1,0,80,246,200823,200989,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000222,303
"882",16884,201997,202082,NA,102469042,102469007,4410,22,62.57246377,0.102724391,"ScnbKXS_16884;HRSCAF=20830",16884,100,86,0,0,374,459,201997,202082,0.000000000000000000000000000000000000508,159
"883",16884,202038,201997,NA,102469042,102469007,4410,22,62.57246377,0.102724391,"ScnbKXS_16884;HRSCAF=20830",16884,100,42,0,0,1,42,202038,201997,0.00000000000146,78.7
"884",1563,2093709,2091160,NA,107576203,107576151,9285,24,190.18,0.082669433,"ScnbKXS_1563;HRSCAF=1850",1563,99.726,2551,5,2,608,3157,2093709,2091160,0,4671
"885",1563,2094414,2093835,NA,107576203,107576151,9285,24,190.18,0.082669433,"ScnbKXS_1563;HRSCAF=1850",1563,99.31,580,3,1,37,615,2094414,2093835,0,1048
"890",7712,32474,32640,NA,100883538,100883045,2902,24,90.66,0.067396182,"ScnbKXS_7712;HRSCAF=9011",7712,100,167,0,0,401,567,32474,32640,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000122,309
"895",16807,24389,24324,NA,102469042,102469007,20524,22,119.2971014,0.063890451,"ScnbKXS_16807;HRSCAF=20672",16807,100,66,0,0,710,775,24389,24324,0.000000000000000000000000194,122
"896",16807,25292,25169,NA,102469042,102469007,20524,22,119.2971014,0.063890451,"ScnbKXS_16807;HRSCAF=20672",16807,100,124,0,0,590,713,25292,25169,0.00000000000000000000000000000000000000000000000000000000111,230
"901",8029,6491,6187,NA,100883538,100883045,29387,24,50.86666667,0.061258523,"ScnbKXS_8029;HRSCAF=9378",8029,99.016,305,3,0,1,305,6491,6187,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000597,547
"902",10676,67455,67107,NA,116574371,116574322,15792,24,121.6533333,0.060007512,"ScnbKXS_10676;HRSCAF=12439",10676,99.14,349,2,1,662,1009,67455,67107,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000264,627
"903",10676,67815,67685,NA,116574371,116574322,15792,24,121.6533333,0.060007512,"ScnbKXS_10676;HRSCAF=12439",10676,99.237,131,1,0,542,672,67815,67685,0.00000000000000000000000000000000000000000000000000000000000519,237
"904",10676,68029,67906,NA,116574371,116574322,15792,24,121.6533333,0.060007512,"ScnbKXS_10676;HRSCAF=12439",10676,100,124,0,0,421,544,68029,67906,0.000000000000000000000000000000000000000000000000000000000869,230
"906",10676,68850,68781,NA,116574371,116574322,15792,24,121.6533333,0.060007512,"ScnbKXS_10676;HRSCAF=12439",10676,100,70,0,0,286,355,68850,68781,0.000000000000000000000000000906,130
"907",10676,68980,69186,NA,116574371,116574322,15792,24,121.6533333,0.060007512,"ScnbKXS_10676;HRSCAF=12439",10676,99.517,207,1,0,1,207,68980,69186,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000293,377
"908",10676,69021,68935,NA,116574371,116574322,15792,24,121.6533333,0.060007512,"ScnbKXS_10676;HRSCAF=12439",10676,100,87,0,0,202,288,69021,68935,0.000000000000000000000000000000000000321,161
"909",7706,11050,13026,NA,100883538,100883045,1528,24,498.9933333,0.059000659,"ScnbKXS_7706;HRSCAF=9004",7706,99.241,1977,10,4,1,1972,11050,13026,0,3563
"911",7706,13287,13528,NA,100883538,100883045,1528,24,498.9933333,0.059000659,"ScnbKXS_7706;HRSCAF=9004",7706,100,242,0,0,2060,2301,13287,13528,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,448
"913",7706,14231,14548,NA,100883538,100883045,1528,24,498.9933333,0.059000659,"ScnbKXS_7706;HRSCAF=9004",7706,99.686,318,1,0,2520,2837,14231,14548,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000277,582
